number,description,createdAt,updatedAt
1,"Bulbasaur can be seen napping in bright sunlight.
There is a seed on its back. By soaking up the sun’s rays,
the seed grows progressively larger.","2018-07-18 02:57:13","2018-07-18 02:57:13"
2,"There is a bud on this Pokémon’s back. To support its weight,
Ivysaur’s legs and trunk grow thick and strong.
If it starts spending more time lying in the sunlight,
it’s a sign that the bud will bloom into a large flower soon.","2018-07-18 02:57:15","2018-07-18 02:57:15"
3,"There is a large flower on Venusaur’s back. The flower is said
to take on vivid colors if it gets plenty of nutrition and sunlight.
The flower’s aroma soothes the emotions of people.","2018-07-18 02:57:14","2018-07-18 02:57:14"
4,"The flame that burns at the tip of its tail is an indication
of its emotions. The flame wavers when Charmander
is enjoying itself. If the Pokémon becomes enraged,
the flame burns fiercely.","2018-07-18 03:26:44","2018-07-18 03:26:44"
5,"Charmeleon mercilessly destroys its foes using its sharp
claws. If it encounters a strong foe, it turns aggressive.
In this excited state, the flame at the tip of its tail flares with
a bluish white color.","2018-07-18 02:57:15","2018-07-18 02:57:15"
6,"Charizard flies around the sky in search of powerful opponents.
It breathes fire of such great heat that it melts anything.
However, it never turns its fiery breath on any opponent
weaker than itself.","2018-07-18 03:02:06","2018-07-18 03:02:06"
7,"Squirtle’s shell is not merely used for protection.
The shell’s rounded shape and the grooves on its
surface help minimize resistance in water,
enabling this Pokémon to swim at high speeds.","2018-07-18 03:50:13","2018-07-18 03:50:13"
8,"Its tail is large and covered with a rich, thick fur. The tail
becomes increasingly deeper in color as Wartortle ages.
The scratches on its shell are evidence of this Pokémon’s
toughness as a battler.","2018-07-18 04:07:54","2018-07-18 04:07:54"
9,"Blastoise has water spouts that protrude from its shell.
The water spouts are very accurate.
They can shoot bullets of water with enough accuracy
to strike empty cans from a distance of over 160 feet.","2018-07-18 02:57:53","2018-07-18 02:57:53"
10,"It’s easy to catch, and it grows quickly, making
it one of the top recommendations for novice
Pokémon Trainers.","2018-07-18 02:58:16","2018-07-18 02:58:16"
11,"Its shell is hard, but it’s still just a bug shell.
It’s been known to break, so intense battles
with it should be avoided.","2018-07-18 04:08:05","2018-07-18 04:08:05"
12,"When attacked by other Pokémon, it defends
itself by scattering its poisonous scales and
fluttering its wings.","2018-07-18 02:57:43","2018-07-18 02:57:43"
13,"Weedle has an extremely acute sense of smell. It is capable
of distinguishing its favorite kinds of leaves from those it
dislikes just by sniffing with its big red proboscis (nose).","2018-07-18 02:57:52","2018-07-18 02:57:52"
14,"Kakuna remains virtually immobile as it clings to a tree.
However, on the inside, it is extremely busy as it prepares
for its coming evolution.
This is evident from how hot the shell becomes to the touch.","2018-07-18 02:57:51","2018-07-18 02:57:51"
15,"Beedrill is extremely territorial. No one should ever approach
its nest—this is for their own safety. If angered, they will attack
in a furious swarm.","2018-07-18 03:14:17","2018-07-18 03:14:17"
16,"Pidgey has an extremely sharp sense of direction.
It is capable of unerringly returning home to its nest,
however far it may be removed from its familiar surroundings.","2018-07-18 02:57:19","2018-07-18 02:57:19"
17,"Pidgeotto claims a large area as its own territory. This
Pokémon flies around, patrolling its living space. If its territory
is violated, it shows no mercy in thoroughly punishing the foe
with its sharp claws.","2018-07-18 03:14:10","2018-07-18 03:14:10"
18,"This Pokémon has a dazzling plumage of beautifully
glossy feathers. Many Trainers are captivated by the
striking beauty of the feathers on its head, compelling
them to choose Pidgeot as their Pokémon.","2018-07-18 04:08:03","2018-07-18 04:08:03"
19,"With their strong capacity for survival, they can
live in dirty places without concern. Left
unchecked, their numbers multiply rapidly.","2018-07-18 03:02:25","2018-07-18 03:02:25"
20,"Its disposition is far more violent than its looks
would suggest. Don’t let your hand get too close
to its face, as it could bite your hand clean off.","2018-07-18 02:57:58","2018-07-18 02:57:58"
21,"Farmers whose fields are troubled by bug
Pokémon appreciate Spearow for its vigorous
appetite and look after it.","2018-07-18 03:01:55","2018-07-18 03:01:55"
22,"Drawings of a Pokémon resembling Fearow can
be seen in murals from deep in ancient history.","2018-07-18 02:57:16","2018-07-18 02:57:16"
23,"Ekans curls itself up in a spiral while it rests. Assuming this
position allows it to quickly respond to a threat from any
direction with a glare from its upraised head.","2018-07-18 04:08:10","2018-07-18 04:08:10"
24,"This Pokémon is terrifically strong in order to constrict things
with its body. It can even flatten steel oil drums. Once Arbok
wraps its body around its foe, escaping its crunching embrace
is impossible.","2018-07-18 03:14:25","2018-07-18 03:14:25"
